word phonetic definition
trousers ['trauzәz] "n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately\nn a garment (or part of a garment) designed for or relating to trousers"
trout [traut] "n. flesh of any of several primarily freshwater game and food fishes\nn. any of various game and food fishes of cool fresh waters mostly smaller than typical salmons"
trove [trәuv] "n treasure of unknown ownership found hidden (usually in the earth)"
truce [tru:s] "n a state of peace agreed to between opponents so they can discuss peace terms"
truck [trʌk] "n. an automotive vehicle suitable for hauling\nv. convey (goods etc.) by truck"
trucker ['trʌkә(r)] "n someone who drives a truck as an occupation"
trucking ['trʌkiŋ] "n the activity of transporting goods by truck\nv convey (goods etc.) by truck"
truckload ['trʌklәjd] 
trudge [trʌdʒ] "n. a long difficult walk"
truffle ['trʌfl] "n. any of various highly prized edible subterranean fungi of the genus Tuber; grow naturally in southwestern Europe\nn. edible subterranean fungus of the genus Tuber\nn. creamy chocolate candy"
truly ['tru:li] "r. in accordance with truth or fact or reality"
trump [trʌmp] "n. a playing card in the suit that has been declared trumps\nn. (card games) the suit that has been declared to rank above all other suits for the duration of the hand\nv. produce a sound as if from a trumpet\nv. play a trump"
trumpet ['trʌmpit] "v. proclaim on, or as if on, a trumpet\nv. play or blow on the trumpet\nv. utter in trumpet-like sounds"
trunk [trʌŋk] "n. the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber\nn. luggage consisting of a large strong case used when traveling or for storage"
trust [trʌst] "n. something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)\nn. the trait of believing in the honesty and reliability of others\nn. a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service\nv. have confidence or faith in"
trustee [.trʌs'ti:] "n. a person (or institution) to whom legal title to property is entrusted to use for another's benefit"
trusting ['trʌstiŋ] "v have confidence or faith in\nv allow without fear\nv be confident about something\nv expect and wish\nv confer a trust upon\nv extend credit to; I won't pay her debts anymore""\na inclined to believe or confide readily; full of trust"
trustworthy ['trʌst.wә:ði] "a. worthy of trust or belief\ns. taking responsibility for one's conduct and obligations"
trusty ['trʌsti] "n. a convict who is considered trustworthy and granted special privileges"
truth [tru:θ] "n. a fact that has been verified\nn. conformity to reality or actuality\nn. a true statement\nn. United States abolitionist and feminist who was freed from slavery and became a leading advocate of the abolition of slavery and for the rights of women (1797-1883)"
truthful ['tru:θful] "a. expressing or given to expressing the truth\ns. conforming to truth"
try [trai] "v. make an effort or attempt\nv. give pain or trouble to\nv. test the limits of\nv. melt (fat or lard) in order to separate out impurities"
trying ['traiiŋ] "s. hard to endure"
tryout ['traiaut] "n trying something to find out about it\nn a test of the suitability of a performer"
tsunami [tsu'nɑ:mi] "n. a cataclysm resulting from a destructive sea wave caused by an earthquake or volcanic eruption"
tub [tʌb] "n. a large open vessel for holding or storing liquids\nn. the amount that a tub will hold"
tube [tju:b] "n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases\nn. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope\nn. (anatomy) any hollow cylindrical body structure\nv. provide with a tube or insert a tube into"
tuber ['tju:bә] "n. a fleshy underground stem or root serving for reproductive and food storage\nn. type genus of the Tuberaceae: fungi whose fruiting bodies are typically truffles"
tuberculosis [tju,bә:kju'lәusis] "n. infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages)"
tubing ['tju:biŋ] "n conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases\nv provide with a tube or insert a tube into\nv convey in a tube\nv ride or float on an inflated tube\nv place or enclose in a tube"
tubular ['tju:bjulә] "s. constituting a tube; having hollow tubes (as for the passage of fluids)"
tuck [tʌk] "n. eatables (especially sweets)\nn. (sports) a bodily position adopted in some sports (such as diving or skiing) in which the knees are bent and the thighs are drawn close to the chest\nn. a narrow flattened pleat or fold that is stitched in place\nv. fit snugly into"
tuft [tʌft] "n. a bunch of hair or feathers or growing grass\nn. a bunch of feathers or hair"
tug [tʌg] "n. a sudden abrupt pull\nv. pull hard\nv. strive and make an effort to reach a goal\nv. tow (a vessel) with a tug"
tuition [tju:'iʃәn] "n. a fee paid for instruction (especially for higher education)"
tulip ['tju:lip] "n. any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower"
tumble [tʌmbl] "n. an acrobatic feat of rolling or turning end over end\nv. fall down, as if collapsing\nv. roll over and over, back and forth\nv. throw together in a confused mass"
tumbler ['tʌmblә] "n. a gymnast who performs rolls and somersaults and twists etc.\nn. a glass with a flat bottom but no handle or stem; originally had a round bottom\nn. a movable obstruction in a lock that must be adjusted to a given position (as by a key) before the bolt can be thrown"
tumbling ['tʌmbliŋ] "n the gymnastic moves of an acrobat\nv fall down, as if collapsing\nv cause to topple or tumble by pushing\nv roll over and over, back and forth\nv fly around\nv fall apart\nv throw together in a confused mass\nv understand, usually after some initial difficulty\nv fall suddenly and sharply\nv put clothes in a tumbling barrel, where they are whirled about in hot air, usually with the purpose of drying\nv suffer a sudden downfall, overthrow, or defeat\nv do gymnastics, roll and turn skillfully"
tummy ['tʌmi] "n slang for a paunch\nn an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion"
tumor ['tju:mә] "n. an abnormal new mass of tissue that serves no purpose"
tumult ['tju:mʌlt] "n. a state of commotion and noise and confusion\nn. violent agitation"
tumultuous [tju:'mʌltʃuәs] "s characterized by unrest or disorder or insubordination"
tuna ['tju:nә] "n. tropical American prickly pear of Jamaica\nn. important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks\nn. any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters\nn. New Zealand eel"
tundra ['tʌndrә] "n. a vast treeless plain in the Arctic regions where the subsoil is permanently frozen"
tune [tju:n] "n. a succession of notes forming a distinctive sequence\nn. the property of producing accurately a note of a given pitch\nn. the adjustment of a radio receiver or other circuit to a required frequency\nv. adjust for (better) functioning"
tunic ['tju:nik] "n. an enveloping or covering membrane or layer of body tissue\nn. any of a variety of loose fitting cloaks extending to the hips or knees"
tuning ['tju:niŋ] "n. (music) calibrating something (an instrument or electronic circuit) to a standard frequency"
tunnel ['tʌnl] "n. a passageway through or under something, usually underground (especially one for trains or cars)\nv. force a way through"
turban ['tә:bәn] "n. a traditional Muslim headdress consisting of a long scarf wrapped around the head"
turbine ['tә:bain] "n. rotary engine in which the kinetic energy of a moving fluid is converted into mechanical energy by causing a bladed rotor to rotate"
turbulence ['tә:bjulәns] "n. unstable flow of a liquid or gas\nn. instability in the atmosphere\nn. a state of violent disturbance and disorder (as in politics or social conditions generally)"
turbulent ['tә:bjulәnt] "s characterized by unrest or disorder or insubordination\ns (of a liquid) agitated vigorously; in a state of turbulence"
turf [tә:f] "n. surface layer of ground containing a mat of grass and grass roots\nn. the territory claimed by a juvenile gang as its own\nn. range of jurisdiction or influence\nv. cover (the ground) with a surface layer of grass or grass roots"
Turk [tә:k] "n. a native or inhabitant of Turkey"
turkey ['tә:ki] "n. large gallinaceous bird with fan-shaped tail; widely domesticated for food\nn. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923\nn. flesh of large domesticated fowl usually roasted\nn. an event that fails badly or is totally ineffectual"
Turkish ['tә:kiʃ] "n. a Turkic language spoken by the Turks\na. of or relating to or characteristic of Turkey or its people or language"
turmoil ['tә:mɒil] "n a violent disturbance\nn violent agitation\nn disturbance usually in protest"
turn [tә:n] "n. the act of changing or reversing the direction of the course\nn. (game) the activity of doing something in an agreed succession\nn. an unforeseen development\nn. the act of turning away or in the opposite direction"
turn-of-the-century "[tɚn ʌv ði ˈsɛntʃəri]" 
turnaround ['tә:nә.raund] "n. time need to prepare a vessel or ship for a return trip\nn. an area sufficiently large for a vehicle to turn around\nn. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
turning ['tә:niŋ] "n. act of changing in practice or custom\nn. a shaving created when something is produced by turning it on a lathe\nn. a movement in a new direction\nn. the end-product created by shaping something on a lathe"
turnip ['tә:nip] "n. widely cultivated plant having a large fleshy edible white or yellow root\nn. root of any of several members of the mustard family"
turnout ['tә:naut] "n. the group that gathers together for a particular occasion\nn. a part of a road that has been widened to allow cars to pass or park\nn. attendance for a particular event or purpose (as to vote in an election)\nn. (ballet) the outward rotation of a dancer's leg from the hip"
turnover ['tә:n.әuvә] "n. a dish made by folding a piece of pastry over a filling"
turntable ['tә:nteibl] "n. a circular horizontal platform that rotates a phonograph record while it is being played\nn. a revolving tray placed on a dining table\nn. a rotatable platform with a track; used to turn locomotives and cars"
turpentine ['tә:pәntain] "n. obtained from conifers (especially pines)\nn. volatile liquid distilled from turpentine oleoresin; used as paint thinner and solvent and medicinally"
turquoise ['tә:kwɒiz] "n. a blue to grey green mineral consisting of copper aluminum phosphate"
turret ['tʌrit] "n. a small tower extending above a building"
turtle ['tә:tl] "n. any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming\nv. hunt for turtles, especially as an occupation"
turtleneck ['tә:tlnek] "n. a sweater or jersey with a high close-fitting collar"
tusk [tʌsk] "n. a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog\nv. remove the tusks of animals"
tutelage ['tju:tilidʒ] "n. teaching pupils individually (usually by a tutor hired privately)"
tutor ['tju:tә] "v. be a tutor to someone; give individual instruction\nv. act as a guardian to someone"
tutorial [tju:'tɒ:riәl] "n. a session of intensive tuition given by a tutor to an individual or to a small number of students\na. of or relating to tutors or tutoring"
tutoring [ˈtju:tərɪŋ] "v be a tutor to someone; give individual instruction\nv act as a guardian to someone"
tuxedo [tʌk'si:dәu] "n semiformal evening dress for men"
TV ['ti:'vi:] "n broadcasting visual images of stationary or moving objects\nn an electronic device that receives television signals and displays them on a screen"
tweak [twi:k] "v. pinch or squeeze sharply"
tweed [twi:d] "n. thick woolen fabric used for clothing; originated in Scotland"
twelfth [twelfθ] "n. position 12 in a countable series of things\ns. coming next after the eleventh and just before the thirteenth in position"
twelve [twelv] "n. the cardinal number that is the sum of eleven and one\ns. denoting a quantity consisting of 12 items or units"
twentieth ['twentiiθ] "n. position 20 in a countable series of things\ns. coming next after the nineteenth in position"
twenty ['twenti] "n. the cardinal number that is the sum of nineteen and one\ns. denoting a quantity consisting of 20 items or units"
twenty-eight [t'wenti:'eɪt] "n the cardinal number that is the sum of twenty-seven and one\ns being eight more than twenty"
twenty-first "[ˈtwenti: fə:st]" "s coming next after the twentieth in position"
twenty-five ['twentɪfaɪv] "n the cardinal number that is the sum of twenty-four and one\ns being five more than twenty"
twenty-four [t'wenti:f'ɔ:r] "n the cardinal number that is the sum of twenty-three and one\ns being four more than twenty"
twenty-nine [t'wenti:n'aɪn] "n the cardinal number that is the sum of twenty-eight and one\ns being nine more than twenty"
twenty-seven [t'wenti:s'evn] "n the cardinal number that is the sum of twenty-six and one\ns being seven more than twenty"
twenty-six [t'wenti:s'ɪks] "n the cardinal number that is the sum of twenty-five and one\ns being six more than twenty"
twenty-three [t'wenti:θr'i:] "n the cardinal number that is the sum of twenty-two and one\ns being three more than twenty"
twenty-two [ˌtwentɪ'tu:] "n the cardinal number that is the sum of twenty-one and one\nn a .22 caliber firearm (pistol or rifle)\ns being two more than twenty"
twice [twais] "r. two times"
twig [twig] "v. branch out in a twiglike manner"
twilight ['twailait] "n. the time of day immediately following sunset\nn. the diffused light from the sky when the sun is below the horizon but its rays are refracted by the atmosphere of the earth\nn. a condition of decline following successes"
twin [twin] "n. either of two offspring born at the same time from the same pregnancy\nn. a waterfall in the Snake River in southern Idaho\nv. duplicate or match\nv. grow as twins"
twine [twain] "v. make by twisting together or intertwining"
twinge [twindʒ] "n. a sharp stab of pain\nv. feel a sudden sharp, local pain"
twinkle ['twiŋkl] "n. a rapid change in brightness; a brief spark or flash\nv. emit or reflect light in a flickering manner"
twirl [twә:l] "v. turn in a twisting or spinning motion"
twist [twist] "n. a jerky pulling movement\nn. social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s\nn. turning or twisting around (in place)\nv. turn in the opposite direction"
twisted ['twistid] "v to move in a twisting or contorted motion, (especially when struggling)\nv cause (a plastic object) to assume a crooked or angular form\nv turn in the opposite direction\nv form into a spiral shape\nv form into twists\nv extend in curves and turns\nv do the twist\nv twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates\nv practice sophistry; change the meaning of or be vague about in order to mislead or deceive\nv twist suddenly so as to sprain\ns having an intended meaning altered or misrepresented"
twisting ['twistiŋ] "n the act of distorting something so it seems to mean something it was not intended to mean\nn the act of rotating rapidly\nv to move in a twisting or contorted motion, (especially when struggling)\nv cause (a plastic object) to assume a crooked or angular form\nv turn in the opposite direction\nv form into a spiral shape\nv form into twists\nv extend in curves and turns\nv do the twist\nv twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates\nv practice sophistry; change the meaning of or be vague about in order to mislead or deceive\nv twist suddenly so as to sprain\ns marked by repeated turns and bends"
twitch [twitʃ] "n. a sudden muscle spasm; especially one caused by a nervous condition\nv. make an uncontrolled, short, jerky motion\nv. move or pull with a sudden motion"
two [tu:] "n. the cardinal number that is the sum of one and one or a numeral representing this number\ns. being one more than one"
two-fold ['tu:f'əʊld] "s having more than one decidedly dissimilar aspects or qualities; public preaching and private influence""- R.W.Emerson\ns twice as great or many"
two-lane ['tu:l'eɪn] "s having a lane for traffic in each direction"
two-part ['tu:pɑ:t] "s involving two parts or elements"
two-story "[tu: ˈstɔ:ri]" 
two-thirds [ˌtu:'θɜ:dz] "n. two of three equal parts of a divisible whole"
two-time ['tu:taim] "v. carry on a romantic relationship with two people at the same time"
two-way ['tu:'wei] "s. operating or permitting operation in either of two opposite directions"
twofold ['tu:'fәuld] "r. by a factor of two"
tycoon [tai'ku:n] "n a very wealthy or powerful businessman"
type [taip] "n. a subdivision of a particular kind of thing\nn. (biology) the taxonomic group whose characteristics are used to define the next higher taxon\nn. printed characters\nn. all of the tokens of the same symbol"
typewriter ['taip.raitә] "n. hand-operated character printer for printing written messages one character at a time"
typical ['tipikl] "a. exhibiting the qualities or characteristics that identify a group or kind or category\ns. conforming to a type"
typically ['tipikәli] "r. in a typical manner"
typify ['tipifai] "v. embody the essential characteristics of or be a typical example of\nv. express indirectly by an image, form, or model; be a symbol"
typing ['taipiŋ] "n. writing done with a typewriter"
typology [tai'pɒlәdʒi] "n. classification according to general type"
tyranny ['tirәni] "n a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)\nn dominance through threat of punishment and violence"
tyrant ['taiәrәnt] "n. a cruel and oppressive dictator\nn. in ancient Greece, a ruler who had seized power without legal right to it\nn. any person who exercises power in a cruel way"
U-turn [ju:'tә:n] "n. complete reversal of direction of travel"
ubiquitous [ju:'bikwitәs] "s being present everywhere at once"
UFO "['ju:fәu, ,ju:ef'әu]" "n an (apparently) flying object whose nature is unknown; especially those considered to have extraterrestrial origins"
ugh "[uh, ә:h]" "interj. An exclamation expressive of disgust, horror, or recoil.\n   Its utterance is usually accompanied by a shudder."
ugliness ['ʌglinis] "n. qualities of appearance that do not give pleasure to the senses"
ugly ['ʌgli] "a. displeasing to the senses"
uh "[ʌn. әn]" 
uh-huh ['ʌhʌ] 
uh-oh [ˈʌˈəu] 
ulcer ['ʌlsә] "n. a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue"
ultimate ['ʌltimit] "n. the finest or most superior quality of its kind\na. furthest or highest in degree or order; utmost or extreme\ns. being the last or concluding element of a series"
ultimately ['ʌltimәtli] "r. as the end result of a succession or process"
ultimatum [.ʌlti'meitәm] "n. a final peremptory demand"
ultra ['ʌltrә] "s (used of opinions and actions) far beyond the norm"
ultrasound ['ʌltrә,saund] "n. very high frequency sound; used in ultrasonography"
ultraviolet [.ʌltrә'vaiәlit] "n. radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays\ns. having or employing wavelengths shorter than light but longer than X-rays; lying outside the visible spectrum at its violet end"
um [әm] 
umbilical [ʌm'bilikl] "a. relating to or resembling the umbilicus"
umbrella [ʌm'brelә] "n. a lightweight handheld collapsible canopy\nn. a formation of military planes maintained over ground operations or targets\nn. having the function of uniting a group of similar things\ns. covering or applying simultaneously to a number of similar items or elements or groups"
umm [,juɛm'ɛm] 
umpire ['ʌmpaiә] "n. an official at a baseball game"
unabashed [.ʌnә'bæʃt] "s. not embarrassed"
unabashedly [,ʌnə'bæʃtli] "r. in an unabashed manner"
unable [ʌn'eibl] "a. (usually followed by `to') not having the necessary means or skill or know-how\ns. (usually followed by `to') lacking necessary physical or mental ability"
unacceptable [.ʌnәk'septәbl] "s. not adequate to give satisfaction\na. not acceptable; not welcome\ns. not conforming to standard usage; `You can access your cash at any of 300 automatic tellers'"""
unaccustomed [.ʌnә'kʌstәmd] "a. not habituated to; unfamiliar with\ns. not customary or usual"
unaffected [.ʌnә'fektid] "a. undergoing no change when acted upon\na. free of artificiality; sincere and genuine"
unambiguous [.ʌnæm'bigjuәs] "a. having or exhibiting a single clearly defined meaning"
unanimity [.ju:nә'nimiti] "n. everyone being of one mind"
unanimous [ju:'nænimәs] "s in complete agreement\ns acting together as a single undiversified whole"
unannounced [.ʌnә'naunst] "s. without warning or announcement"
unanswered [.ʌn'ɑ:nsәd] "s. not returned in kind"
unarmed ['ʌn'ɑ:md] "a. (used of persons or the military) not having or using arms\na. (used of plants or animals) lacking barbs or stings or thorns"
unassuming ['ʌnә'sju:miŋ] "s not arrogant or presuming"
unattainable [.ʌnә'teinәbl] "s impossible to achieve"
unattended [.ʌnә'tendid] "s. not watched\ns. lacking accompaniment or a guard or escort"
unattractive [.ʌnә'træktiv] "a. lacking beauty or charm\ns. lacking power to arouse interest\ns. not appealing to the senses"
unauthorized [.ʌn'ɒ:θәraizd] "a. not endowed with authority\ns. without official authorization"
unavailable [.ʌnә'veilәbl] "a. not available or accessible or at hand"
unavoidable [.ʌnә'vɒidәbl] "s impossible to avoid or evade:""inescapable conclusion"""
unaware [.ʌnә'wєә] "a. (often followed by `of') not aware"
unbalanced [.ʌn'bælәnt] "a. being or thrown out of equilibrium\ns. debits and credits are not equal"
unbearable [.ʌn'bєәrәbl] "a incapable of being put up with"
unbeaten [.ʌn'bi:tn] "s. not conquered"
unbelievable [.ʌnbi'li:vәbl] "a beyond belief or understanding\ns having a probability too low to inspire belief"
unbelievably [ˌʌnbɪˈli:vəblɪ] "r. in an unbelievable manner"
unbiased [.ʌn'baiәst] "s. without bias"
unborn [.ʌn'bɒ:n] "a. not yet brought into existence"
unbridled [.ʌn'braidld] "s. not restrained or controlled"
unbroken ['ʌn'brәukәn] "a. marked by continuous or uninterrupted extension in space or time or sequence\ns. not subdued or trained for service or use\na. (especially of promises or contracts) not violated or disregarded\na. not broken; whole and intact; in one piece"
unbutton [.ʌn'bʌtn] "v. undo the buttons of"
uncanny [.ʌn'kæni] "s suggesting the operation of supernatural influences\ns surpassing the ordinary or normal"
uncertain [.ʌn'sә:tn] "a. lacking or indicating lack of confidence or assurance\na. not established beyond doubt; still undecided or unknown\na. not certain to occur; not inevitable\ns. not consistent or dependable"
uncertainty [.ʌn'sә:tnti] "n. being unsettled or in doubt or dependent on chance"
unchallenged [.ʌn'tʃæliŋdʒd] "s generally agreed upon; not subject to dispute"
unchanged [.ʌn'tʃeindʒd] "a. not made or become different"
unchanging [ʌn'tʃeindʒiŋ] "s. conforming to the same principles or course of action over time"
uncharacteristically [,ʌn,kæriktə'ristikli] "r. in uncharacteristic manner"
uncharted [.ʌn'tʃɑ:tid] "s (of unknown regions) not yet surveyed or investigated"
unchecked [.ʌn'tʃekt] "s not restrained or controlled"
uncle [ʌŋkl] "n. the brother of your father or mother; the husband of your aunt\nn. a source of help and advice and encouragement"
unclear [.ʌn'kliә] "a. not clear to the mind"
uncomfortable [.ʌn'kʌmfәtәbl] "a. conducive to or feeling mental discomfort\na. providing or experiencing physical discomfort"
uncomfortably [ʌnˈkʌmftəbli] "r. in physical discomfort"
uncommon [.ʌn'kɒmәn] "a. not common or ordinarily encountered; unusually great in amount or remarkable in character or kind"
uncomplicated ['ʌn'kɔmplikeitid] "s. lacking complexity"
uncompromising [.ʌn'kɒmprәmaiziŋ] "a. not making concessions"
unconcerned [.ʌnkәn'sә:nd] "a. lacking in interest or care or feeling\ns. easy in mind; not worried\ns. not occupied or engaged with"
unconditional [.ʌnkәn'diʃәnl] "a. not conditional\ns. not contingent; not determined or influenced by someone or something else"
unconditionally [ˌʌnkən'dɪʃənəlɪ] "r. not subject to a condition"
unconscionable [.ʌn'kɒnʃәnәbl] "s lacking a conscience\ns greatly exceeding bounds of reason or moderation"
unconscious [.ʌn'kɒnʃәs] "a. not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead\ns. without conscious volition\ns. (followed by `of') not knowing or perceiving"
unconsciously [.ʌn'kɒnʃәsli] "r. without awareness"
unconstitutional ['ʌnkɔnsti'tju:ʃәnәl] "a. not consistent with or according to a constitution; contrary to the U.S. Constitution"
uncontrollable [.ʌnkәn'trәulәbl] "s. difficult to solve or alleviate\ns. incapable of being controlled or managed"
uncontrollably [,ʌnkən'trəuləbli] "r. in an uncontrolled manner"
uncontrolled [.ʌnkәn'trәuld] "a. not being under control; out of control"
unconventional [.ʌnkәn'venʃәnl] "a. not conforming to accepted rules or standards\na. not conventional or conformist"
uncooked [.ʌn'kukt] "s. not cooked"
uncover [.ʌn'kʌvә] "v. make visible\nv. remove all or part of one's clothes to show one's body"
undaunted [.ʌn'dɒ:ntid] "s. unshaken in purpose\ns. resolutely courageous"
undecided [.ʌndi'saidid] "s. not yet having made a commitment"
undefeated [ˌʌndɪˈfi:tɪd] "a. victorious"
undemocratic ['ʌndemә'krætik] "a. not in agreement with or according to democratic doctrine or practice or ideals"
undeniable [.ʌndi'naiәbl] "a. not possible to deny"
under ['ʌndә] "s. lower in rank, power, or authority\nr. down to defeat, death, or ruin\nr. through a range downward\nr. into unconsciousness"
underage ['ʌndәridʒ] "s. dependent by virtue of youth"
underbrush ['ʌndәbrʌʃ] "n. the brush (small trees and bushes and ferns etc.) growing beneath taller trees in a wood or forest"
underclass ['ʌndәklæs] "s. belonging to the lowest and least privileged social stratum"
undercover [.ʌndә'kʌvә] "s conducted with or marked by hidden aims or methods"
undercurrent ['ʌndә.kʌrәnt] "n a subdued emotional quality underlying an utterance; implicit meaning\nn a current below the surface of a fluid"
undercut ['ʌndәkʌt] "n. the material removed by a cut made underneath\nn. a notch cut in the trunk of tree in order to determine the direction of its fall\nn. a cut made underneath to remove material\nv. cut away material from the underside of (an object) so as to leave an overhanging portion in relief"
underdeveloped [.ʌndәdi'velәpt] "s. not yet fully developed"
underdog [.ʌndә'dɒg] "n. one at a disadvantage and expected to lose"
underestimate [.ʌndәr'estimeit] "n. an estimation that is too low; an estimate that is less than the true or actual value\nv. make too low an estimate of"
underfoot [.ʌndә'fut] "r. under the feet\nr. in the way and hindering progress"
underfunded [ˌʌndəˈfʌndɪd] 
undergo [.ʌndә'gәu] "v. pass through"
undergraduate [.ʌndә'grædjuit] "n. a university student who has not yet received a first degree"
underground ['ʌndәgraund] "n. a secret group organized to overthrow a government or occupation force\nr. in or into hiding or secret operation\nr. beneath the surface of the earth"
underlie [.ʌndә'lai] "v. be or form the base for\nv. lie underneath"
underline ['ʌndәlain] "v. draw a line or lines underneath to call attention to"
underlying [.ʌndә'laiiŋ] "s. located beneath or below"
undermine [.ʌndә'main] "v destroy property or hinder normal operations\nv hollow out as if making a cave or opening"
underneath [.ʌndә'ni:θ] "r. on the lower or downward side; on the underside of\nr. under or below an object or a surface; at a lower place or level; directly beneath"
underpants ['ʌndәpænts] "n. an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin"
underpin [.ʌndә'pin] "v. support from beneath"
underpinning [.ʌndә'piniŋ] "v support from beneath\nv support with evidence or authority or make more certain or confirm"
underscore [.ʌndә'skɒ:] "n. a line drawn underneath (especially under written matter)\nv. give extra weight to (a communication)"
undersea ['ʌndәsi:] "s beneath the surface of the sea"
undersecretary ['ʌndә'sekritәri] "n. a secretary immediately subordinate to the head of a department of government"
underserved [,ʌndә's\\\\:vd] 
underside ['ʌndәsaid] "n the lower side of anything"
understand [.ʌndә'stænd] "v. know and comprehend the nature or meaning of\nv. perceive (an idea or situation) mentally\nv. make sense of a language\nv. believe to be the case"
understandable [.ʌndә'stændәbl] "s capable of being apprehended or understood"
understanding [.ʌndә'stændiŋ] "n. the cognitive condition of someone who understands\ns. characterized by understanding based on comprehension and discernment and empathy"
understate [.ʌndә'steit] "v. represent as less significant or important"
understated [.ʌndә'steitid] "s. exhibiting restrained good taste"
understatement [ʌndә'steitmәnt] "n. a statement that is restrained in ironic contrast to what might have been said"
undertake [.ʌndә'teik] "v. enter upon an activity or enterprise\nv. accept as a challenge\nv. promise to do or accomplish\nv. accept as a charge"
undertaking [.ʌndә'teikiŋ] "n. any piece of work that is undertaken or attempted\nn. the trade of a funeral director"
undertone ['ʌndәtәun] "n. a quiet or hushed tone of voice\nn. a subdued emotional quality underlying an utterance; implicit meaning\nn. a pale or subdued color"
undervalue [.ʌndә'vælju:] "v. assign too low a value to\nv. esteem lightly"
underwater ['ʌndә'wɒ:tә] "s beneath the surface of the water\ns growing or remaining under water"
underway ['ʌndә'wei] "s currently in progress"
underwear ['ʌndәwєә] "n. undergarment worn next to the skin and under the outer garments"
underworld ['ʌndәwә:ld] "n. the criminal class"
underwrite ['ʌndәrait] "v. guarantee financial support of"
underwriter ['ʌndә.raitә] "n a banker who deals chiefly in underwriting new securities\nn an agent who sells insurance\nn a financial institution that sells insurance"
underwriting ['ʌndә.raitiŋ] "v guarantee financial support of\nv protect by insurance"
undesirable [.ʌndi'zaiәrәbl] "n. one whose presence is undesirable\na. not wanted\ns. not worthy of being chosen (especially as a spouse)"
undetected [.ʌndi'tektid] "a. not perceived or discerned"
undeterred [ʌndi'tә:d] "s. not deterred"
undeveloped [.ʌndi'velәpt] "a. not developed"
undisclosed ['ʌndis'klәuzd] "s. not made known"
undiscovered [.ʌndi'skʌvәd] "s. not discovered\ns. not yet discovered"
undisputed [.ʌndis'pju:tid] "s. generally agreed upon; not subject to dispute"
undisturbed [.ʌndi'stә:bd] "s. untroubled by interference or disturbance"
undo [.ʌn'du:] "v. cancel, annul, or reverse an action or its effect\nv. cause the ruin or downfall of"
undocumented [,ʌn'dɔkjjmentid] "a. lacking necessary documents (as for e.g. permission to live or work in a country)"
undoubtedly [ʌn'dajtidli] "r. without doubt; certainly"
undress [.ʌn'dres] "n. partial or complete nakedness\nv. get undressed"
undue [.ʌn'dju:] "a. not yet payable\na. not appropriate or proper (or even legal) in the circumstances\ns. lacking justification or authorization"
undulating ['ʌndjəˌletɪŋ] "v stir up (water) so as to form ripples\nv occur in soft rounded shapes\nv move in a wavy pattern or with a rising and falling motion\nv increase and decrease in volume or pitch, as if in waves"
unduly [.ʌn'dju:li] "r. to an undue degree"
unearth [.ʌn'ә:θ] "v. bring to light"
unease [.ʌn'i:z] "n physical discomfort (as mild sickness or depression)\nn the trait of seeming ill at ease"
uneasily [,ʌn'i:zili] "r with anxiety or apprehension"
uneasiness [.ʌn'i:zinis] "n feelings of anxiety that make you tense and irritable\nn physical discomfort (as mild sickness or depression)\nn embarrassment deriving from the feeling that others are critically aware of you\nn the trait of seeming ill at ease\nn inability to rest or relax or be still"
uneasy [.ʌn'i:zi] "a. lacking a sense of security or affording no ease or reassurance\ns. relating to bodily unease that causes discomfort"
uneducated [.ʌn'edjukeitid] "a. not having a good education"
unemployed [.ʌnim'plɒid] "a. not engaged in a gainful occupation"
unemployment [.ʌnim'plɒimәnt] "n. the state of being unemployed or not having a job"
